CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Numero_Membros;Numero_Membros_Remunerados;Valor_Maior_Remuneracao;Valor_Menor_Remuneracao;Valor_Medio_Remuneracao;Observacao
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;8.17;1673270.64;1573274.64;1473760.68;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado. O valor do Presidente do Conselho de Administração é distinto dos demais conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;9.83;9.83;19342394.01;4960915.75;8094753.54;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para cada um dos membros da Diretoria Estatutária passou a observar a aderência ao mercado. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;146403.75;146403.75;143009.09;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho de Administração;9.58;7.00;65284.32;65284.32;65689.20;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para o Conselho de Administração passou a observar a aderência ao mercado.O valor do Presidente do Conselho de Administração é distinto dos demais conselheiros, os quais recebem idênticos patamares de remuneração, com exceção daquela específica por Participação em Comitês. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;6.33;6.33;1226608.08;928300.79;1277250.95;Com a aprovação do Novo Modelo de Remuneração da Eletrobras Privatizada, a remuneração para cada um dos membros da Diretoria Estatutária passou a observar a aderência ao mercado. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho Fiscal;4.92;4.92;75859.76;68045.01;76468.72;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho de Administração;10.25;7.42;65284.32;65284.32;66037.08;O valor de honorários distribuído entre os membros do conselho de administração é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Diretoria Estatutária;5.83;5.83;1027824.23;821745.55;1105273.57;O valor de honorários distribuídos para os membros da diretoria estatutária é o mesmo para todos, exceto o acréscimo de 5% para o diretor-presidente em relação aos demais membros. O presidente era também membro do conselho de administração, porém a remuneração por ele percebida na qualidade de membro da diretoria estatutária não foi computada para efeito do cálculo da remuneração do conselho de administração e vice-versa, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. Entretanto, os encargos relativos à sua remuneração total são considerados exclusivamente na diretoria estatutária. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;65284.32;65284.32;65284.32;O valor de honorários distribuído entre os membros do Conselho de Fiscal é idêntico para todos os membros. O valor da menor remuneração anual individual foi apurado com a exclusão dos membros do respectivo órgão que tenham exercido o cargo por menos de 12 meses, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP. O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024- CVM/SEP.
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;88242.00;88242.00;88242.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;425547.00;382992.00;393631.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;88242.00;88242.00;88242.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Conselho de Administração;9.00;9.00;74410.00;74410.00;74410.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;199964.00;115850.00;153787.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;74410.00;74410.00;74410.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;Conselho de Administração;9.00;8.00;62981.00;55108.00;59045.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;298427.00;177474.00;209407.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;39363.00;39363.00;39363.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;3168511.89;65456.17;852488.59;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;12.00;12.00;1411569.41;1053571.32;1178916.90;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;28643030.24;87231.31;944861.63;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;12.00;12.00;1765759.21;745030.47;1133747.42;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;2308103.63;80776.75;852054.85;N/A
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;13.00;13.00;1534650.05;866244.97;1193047.29;N/A
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2023-01-01;2023-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2022-01-01;2022-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.00;1.00;358160.00;358160.00;358160.00;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;1.00;355200.00;355200.00;355200.00;Os valores: (i) valor da maior remuneração (ii) valor da menor remuneração e (iii) valor médio da remuneração foram considerados sem encargos de INSS.
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.00;0.00;0.00;Não aplicável.
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;1.00;0.17;25400.00;25400.00;25400.00;(i) O valor da menor remuneração foi apurado considerando apenas membros de órgão que exerceram o cargo durante os 12 meses de 2021. Não foram considerados os membros que deixaram seus cargos ao longo do ano (ii) o valor médio é o total pago no ano dividido pelo número de membros remunerados e (iii) o valor da maior remuneração foi apurado por meio do maior valor pago a um diretor considerando que este exerceu o cargo por 12 meses em 2021.
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;0.33;0.00;0.00;0.00;0.00;Não aplicável.
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;2.00;480000.00;120000.00;300000.00;
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.35;3.35;600000.00;250000.00;400000.00;
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;2.00;108000.00;0.01;27111.11;
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;2525000.00;0.01;841666.67;
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;5.00;45000.00;0.01;9000.00;
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;3442705.21;781894.38;1668831.32;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Conselho de Administração;8.00;7.00;51931.60;26632.68;34753.65;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;651223.63;347556.80;537803.80;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;49862.76;29915.66;30770.12;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Conselho de Administração;8.00;7.00;48266.84;42166.54;46281.27;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;607836.37;178267.59;441755.30;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;48072.22;38924.90;44945.40;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;2021-12-31;Conselho de Administração;8.00;6.00;49045.32;23354.94;44452.22;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;583568.54;129598.32;433606.43;
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;48072.22;31139.92;47644.08;
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;Não há remuneração fixa.
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2021-01-01;2021-12-31;Conselho de Administração;5.00;5.00;78062.11;60448.90;62195.20;
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;1516561.00;557680.00;1037120.50;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;2.00;263031.00;263031.00;263031.00;Em setembro de 2023 o Conselho de Administração foi reduzido, após a aquisição da totalidade da participação acionária detida pela FUNCEF - Fundação dos Economiários Federais ("FUNCEF"), ficando assim com 100,00% de participação. Como consequência foram extintos os cargos remunerados de Conselheiro Administrativo. Sendo assim, sua média foi considerada para 9 meses.
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;2617128.00;764739.00;1690933.00;Valor da maior e menor remuneração: considera a exclusão de Vice-presidente que não exerceu o cargo por 12 meses ao longo do ano de 2023.Valor médio da remuneração: considera a exclusão de Vice-presidente que exerceram o cargo por menos de 12 meses ao longo do ano de 2023. O número de membros efetivamente utilizado para o cálculo de remuneração média foi 6,0.Em janeiro de 2023 houve a alteração de estrutura, tendo 1 presidente e alteração de 5 posições de diretores para vice-presidentes e 1 diretor estatutário passado voltando para diretor CLT.
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;1.00;49842.00;49842.00;49842.00;Em setembro de 2023 o Conselho de Administração foi reduzido, após a aquisição da totalidade da participação acionária detida pela FUNCEF - Fundação dos Economiários Federais ("FUNCEF"), ficando assim com 100,00% de participação. Como consequência o Conselho Fiscal foi extinto. Sendo assim, sua média foi considerada para 9 meses.
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;2.00;180655.15;180655.15;180655.15;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;1753414.94;797006.79;1073302.48;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;1.00;73159.72;73159.72;73159.72;
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;2.00;164064.40;164064.40;164064.40;Houve a troca de conselheiro em janeiro de 2021, considerando a saída em um dia e a substituição no dia seguinte, foi considerado o total de 2 membros do conselho.
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;1726775.42;682001.73;1204388.58;Valor da maior e menor remuneração: considera a exclusão de Diretor que não exerceu o cargo por 12 meses ao longo do ano de 2021, referente a substituição.Valor médio da remuneração: considera a exclusão de Diretores que exerceram o cargo por menos de 12 meses ao longo do ano de 2021, referente a substituição. O número de membros efetivamente utilizado para o cálculo de remuneração média foi 7,0.1 diretor saiu em fevereiro e outro em outubro, levando a média para 7
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;1.00;64272.62;64272.62;64272.62;Houve a troca de conselheiro em janeiro de 2021, considerando a saída em um dia e a substituição no dia seguinte, foi considerado o total de 1 membro do conselho.
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;1.00;76003.00;76003.00;76003.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;3.00;485581.00;259717.00;349637.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;29995.00;29995.00;30062.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;1.00;76003.00;76003.00;76003.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;3.00;259717.00;257736.00;331863.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;29995.00;29995.00;30995.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2021-01-01;2021-12-31;Conselho de Administração;3.00;1.00;76003.00;76003.00;76003.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;3.00;377037.00;99855.00;297793.00;N/A
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;5.00;29995.00;29995.00;29995.00;N/A
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;4.00;4.00;131159.06;128876.71;131159.06;
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;79243.20;79243.20;79243.20;
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;132072.00;132072.00;132072.00;
