CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Posicao;Quantidade_Feminino;Quantidade_Masculino;Quantidade_Nao_Binario;Quantidade_Outros;Quantidade_Sem_Resposta
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Liderança;3;44;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Não-liderança;133;213;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Liderança;3;1;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Não-liderança;16;3;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Liderança;18;39;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Não-liderança;41;74;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Liderança;26;32;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Não-liderança;278;169;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Liderança;18;37;0;0;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Não-liderança;53;125;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Liderança;1;4;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Não-liderança;14;47;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Liderança;0;0;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;4012;3181;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;13783;12985;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Liderança;266;949;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Não-liderança;2967;12466;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Liderança;36;184;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Não-liderança;577;4242;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Liderança;3;3;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Não-liderança;10;15;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Liderança;304;464;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Não-liderança;2184;3416;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Liderança;406;789;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Não-liderança;2797;11701;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Liderança;1;0;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Não-liderança;2;0;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Liderança;99;300;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Não-liderança;881;4103;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Liderança;111;374;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Não-liderança;856;6973;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Liderança;90;289;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Não-liderança;989;5547;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Liderança;51;61;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Não-liderança;105;175;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Liderança;0;0;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Não-liderança;0;0;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Liderança;119;239;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Não-liderança;1387;1118;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Liderança;211;725;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Não-liderança;1201;6317;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Liderança;829;2199;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Não-liderança;40530;53114;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Liderança;0;0;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Liderança;199;165;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Não-liderança;3067;1314;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Liderança;0;6;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Não-liderança;11;179;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Liderança;1;6;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Não-liderança;14;17;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Liderança;0;2;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Não-liderança;1;2;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Liderança;1;1;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Não-liderança;1;0;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Liderança;31;135;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;583;3299;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Liderança;0;0;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Não-liderança;0;0;0;0;0
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Liderança;585;762;0;0;0
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Não-liderança;7082;4940;15;0;2
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Liderança;0;0;0;0;0
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Liderança;16;66;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Não-liderança;103;590;0;0;0
02.217.319/0001-07;2024-12-31;6;141884;YBYRÁ CAPITAL S.A.;Liderança;2;3;0;0;0
02.217.319/0001-07;2024-12-31;6;141884;YBYRÁ CAPITAL S.A.;Não-liderança;0;1;0;0;0
02.255.187/0001-08;2024-12-31;4;141971;UNIFIQUE TELECOMUNICAÇÕES S.A.;Liderança;69;122;0;6;59
02.255.187/0001-08;2024-12-31;4;141971;UNIFIQUE TELECOMUNICAÇÕES S.A.;Não-liderança;330;313;5;47;958
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Liderança;0;1;0;0;0
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;Não-liderança;0;5;0;0;0
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Liderança;0;0;0;0;0
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;Não-liderança;0;0;0;0;0
02.302.101/0001-42;2024-12-31;7;142148;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Liderança;13;46;0;0;0
02.302.101/0001-42;2024-12-31;7;142148;EMAE - EMPRESA METROP.AGUAS ENERGIA S.A.;Não-liderança;25;292;0;0;0
02.328.280/0001-97;2024-12-31;2;140925;ELEKTRO REDES S.A.;Liderança;88;189;0;0;0
02.328.280/0001-97;2024-12-31;2;140925;ELEKTRO REDES S.A.;Não-liderança;587;3055;0;0;0
02.338.534/0001-58;2024-12-31;2;139125;LONGDIS S.A.;Liderança;0;0;0;0;0
02.338.534/0001-58;2024-12-31;2;139125;LONGDIS S.A.;Não-liderança;0;0;0;0;0
02.351.144/0001-18;2024-12-31;4;142003;TEGMA GESTAO LOGISTICA S.A.;Liderança;31;192;0;0;0
02.351.144/0001-18;2024-12-31;4;142003;TEGMA GESTAO LOGISTICA S.A.;Não-liderança;325;1203;0;2;7
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;Liderança;225;372;0;0;0
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;Não-liderança;1302;1947;0;0;0
02.357.251/0001-53;2024-12-31;1;138502;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Liderança;11;29;0;0;0
02.357.251/0001-53;2024-12-31;1;138502;LIFEMED INDUSTRIAL DE EQUIP. E ART. MEDICOS E HOSP. S.A;Não-liderança;249;132;0;0;0
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;Liderança;0;0;0;0;0
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;Não-liderança;0;0;0;0;0
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;Liderança;137;395;0;0;0
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;Não-liderança;957;6736;0;0;0
02.397.080/0001-96;2024-12-31;2;141431;ITAPEBI GERACAO DE ENERGIA S.A.;Liderança;16;26;0;0;0
02.397.080/0001-96;2024-12-31;2;141431;ITAPEBI GERACAO DE ENERGIA S.A.;Não-liderança;28;38;0;0;0
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;Liderança;317;558;0;0;0
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;Não-liderança;4566;4189;0;0;0
02.429.144/0001-93;2024-12-31;2;141286;CPFL ENERGIA S.A.;Liderança;210;745;0;0;0
02.429.144/0001-93;2024-12-31;2;141286;CPFL ENERGIA S.A.;Não-liderança;3139;12113;0;0;0
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;Liderança;42;199;0;0;0
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;Não-liderança;281;577;0;0;0
02.502.844/0001-66;2024-12-31;4;139645;RUMO MALHA PAULISTA S.A.;Liderança;111;374;0;0;0
02.502.844/0001-66;2024-12-31;4;139645;RUMO MALHA PAULISTA S.A.;Não-liderança;856;6973;0;0;0
02.536.066/0001-26;2024-12-31;3;140393;VITAL ENGENHARIA AMBIENTAL S.A.;Liderança;21;151;0;0;0
02.536.066/0001-26;2024-12-31;3;140393;VITAL ENGENHARIA AMBIENTAL S.A.;Não-liderança;919;11206;0;0;0
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;Liderança;1492;2727;0;0;0
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;Não-liderança;13345;15689;0;0;0
02.591.787/0001-39;2024-12-31;2;137932;CAPITALPART PARTICIPACOES S.A.;Liderança;0;1;0;0;0
02.591.787/0001-39;2024-12-31;2;137932;CAPITALPART PARTICIPACOES S.A.;Não-liderança;0;1;0;0;0
02.635.522/0001-95;2024-03-31;14;139950;JALLES MACHADO S.A.;Liderança;52;363;0;0;55
02.635.522/0001-95;2024-03-31;14;139950;JALLES MACHADO S.A.;Não-liderança;983;3510;1;5;470
02.664.042/0001-52;2024-12-31;1;137918;TERMINAL GARAGEM MENEZES CORTES S.A.;Liderança;1;4;0;0;0
02.664.042/0001-52;2024-12-31;1;137918;TERMINAL GARAGEM MENEZES CORTES S.A.;Não-liderança;14;28;0;0;0
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;Liderança;58;242;0;0;0
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;Não-liderança;469;2503;0;0;0
02.762.124/0001-30;2024-12-31;1;138019;BETAPART PARTICIPACOES S.A.;Liderança;0;0;0;0;0
02.762.124/0001-30;2024-12-31;1;138019;BETAPART PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
02.796.775/0001-40;2024-12-31;1;138021;GAMA PARTICIPACOES S.A.;Liderança;0;0;0;0;0
02.796.775/0001-40;2024-12-31;1;138021;GAMA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;Liderança;1034;861;0;0;0
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;Não-liderança;13884;7774;0;0;0
02.846.056/0001-97;2024-12-31;9;141095;CCR S.A.;Liderança;460;735;1;0;866
02.846.056/0001-97;2024-12-31;9;141095;CCR S.A.;Não-liderança;3002;4482;25;0;8158
02.860.694/0001-62;2024-12-31;2;139212;T4F ENTRETENIMENTO S.A.;Liderança;8;6;0;0;0
02.860.694/0001-62;2024-12-31;2;139212;T4F ENTRETENIMENTO S.A.;Não-liderança;37;37;0;0;0
02.916.265/0001-60;2024-12-31;6;142151;JBS S.A.;Liderança;4804;10587;0;0;156
02.916.265/0001-60;2024-12-31;6;142151;JBS S.A.;Não-liderança;104194;152998;2;8;1134
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;Liderança;518;774;0;0;0
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;Não-liderança;4787;4222;0;0;0
02.950.811/0001-89;2024-12-31;9;142086;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Liderança;23;24;0;0;0
02.950.811/0001-89;2024-12-31;9;142086;PDG REALTY S.A. EMPREEND E PARTICIPACOES;Não-liderança;64;34;0;0;0
02.992.449/0001-09;2024-12-31;1;138026;PROMPT PARTICIPACOES S.A.;Liderança;0;0;0;0;0
02.992.449/0001-09;2024-12-31;1;138026;PROMPT PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
02.998.301/0001-81;2024-12-31;3;140404;RIO PARANAPANEMA ENERGIA S.A.;Liderança;1;24;0;0;0
02.998.301/0001-81;2024-12-31;3;140404;RIO PARANAPANEMA ENERGIA S.A.;Não-liderança;33;206;0;0;0
02.998.611/0001-04;2024-12-31;9;141770;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Liderança;29;92;0;0;0
02.998.611/0001-04;2024-12-31;9;141770;CTEEP - CIA TRANSMISSÃO ENERGIA ELÉTRICA PAULISTA;Não-liderança;248;1237;0;0;0
03.014.553/0001-91;2024-12-31;2;138912;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Liderança;3;24;0;0;0
03.014.553/0001-91;2024-12-31;2;138912;TPI - TRIUNFO PARTICIP. E INVEST. S.A.;Não-liderança;11;19;0;0;0
03.025.305/0001-46;2024-12-31;2;138967;RODOVIAS DAS COLINAS S.A.;Liderança;0;0;0;0;0
03.025.305/0001-46;2024-12-31;2;138967;RODOVIAS DAS COLINAS S.A.;Não-liderança;0;0;0;0;0
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;Liderança;170;553;0;0;0
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;Não-liderança;2771;4399;0;0;0
03.303.999/0001-36;2024-12-31;1;138440;DTCOM - DIRECT TO COMPANY S.A.;Liderança;1;4;0;0;0
03.303.999/0001-36;2024-12-31;1;138440;DTCOM - DIRECT TO COMPANY S.A.;Não-liderança;26;9;0;0;0
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;Liderança;26;175;0;0;0
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;Não-liderança;260;1103;0;0;0
03.378.521/0001-75;2024-12-31;6;141833;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;41;121;0;0;0
03.378.521/0001-75;2024-12-31;6;141833;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;788;3589;0;0;0
03.467.321/0001-99;2024-12-31;2;141824;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Liderança;25;117;0;0;0
03.467.321/0001-99;2024-12-31;2;141824;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;Não-liderança;343;2019;0;0;0
03.758.318/0001-24;2024-12-31;3;139526;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Liderança;53;139;0;0;0
03.758.318/0001-24;2024-12-31;3;139526;INVESTIMENTOS E PARTICIP. EM INFRA S.A. - INVEPAR;Não-liderança;760;1266;0;0;0
03.795.050/0001-09;2024-12-31;1;137713;TERMOPERNAMBUCO S.A.;Liderança;3;7;0;0;0
03.795.050/0001-09;2024-12-31;1;137713;TERMOPERNAMBUCO S.A.;Não-liderança;11;44;0;0;0
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;Liderança;117;173;1;0;0
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;Não-liderança;1109;726;5;2;0
03.847.461/0001-92;2024-12-31;5;141860;BRADESPAR S.A.;Liderança;0;0;0;0;0
03.847.461/0001-92;2024-12-31;5;141860;BRADESPAR S.A.;Não-liderança;0;0;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Liderança;533;2135;0;0;0
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;Não-liderança;9428;20815;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Liderança;23;109;0;0;0
03.953.509/0001-47;2024-12-31;3;141760;CPFL GERACAO DE ENERGIA S.A.;Não-liderança;138;448;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Liderança;0;0;0;0;0
03.983.431/0001-03;2024-12-31;2;140468;EDP - ENERGIAS DO BRASIL S.A.;Não-liderança;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Liderança;0;0;0;0;0
04.030.182/0001-02;2024-12-31;1;138590;CABINDA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Liderança;0;0;0;0;0
04.031.213/0001-31;2024-12-31;1;138591;CACONDE PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Liderança;218;269;2;8;0
04.032.433/0001-80;2024-12-31;2;139747;ATMA PARTICIPAÇÕES S.A. - EM RECUPERAÇÃO JUDICIAL;Não-liderança;6116;2351;41;102;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Liderança;0;0;0;0;0
04.038.763/0001-82;2024-12-31;1;138593;CAIANDA PARTICIPACOES S.A.;Não-liderança;0;0;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Liderança;35;67;0;0;0
04.065.053/0001-41;2024-12-31;2;140256;BRZ EMPREENDIMENTOS E CONSTRUÇÕES S.A.;Não-liderança;311;495;1;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Liderança;24;42;0;0;0
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;Não-liderança;180;220;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Liderança;102;263;0;0;0
04.149.454/0001-80;2024-12-31;2;139025;ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.;Não-liderança;2775;2310;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Liderança;28;84;0;0;0
04.172.213/0001-51;2024-12-31;3;141685;CIA PIRATININGA DE FORCA E LUZ;Não-liderança;285;1082;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Liderança;79;97;0;0;0
04.212.396/0001-91;2024-12-31;4;141992;AGASUS S.A.;Não-liderança;231;295;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Liderança;44;198;0;0;0
04.368.898/0001-06;2024-12-31;7;142071;COPEL DISTRIBUIÇÃO S.A.;Não-liderança;835;3126;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Liderança;58;247;0;0;0
04.423.567/0001-21;2024-12-31;6;142149;ENEVA S.A;Não-liderança;305;941;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Liderança;16;21;0;0;0
04.752.991/0001-10;2024-12-31;2;139288;BIOMM S.A.;Não-liderança;48;62;1;0;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Liderança;24;93;0;2;0
04.821.041/0001-08;2024-12-31;2;139576;METALFRIO SOLUTIONS S.A.;Não-liderança;336;681;0;30;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Liderança;21;114;0;0;0
04.895.728/0001-80;2024-12-31;4;141930;EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.;Não-liderança;360;813;1;0;1
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Liderança;218;378;0;0;0
04.902.979/0001-44;2024-12-31;4;141716;BCO AMAZONIA S.A.;Não-liderança;796;1443;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Liderança;1;2;0;0;0
04.912.242/0001-02;2024-12-31;1;137786;PORTUENSE FERRAGENS S/A;Não-liderança;5;3;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Liderança;338;463;0;0;0
04.913.711/0001-08;2024-12-31;3;141268;BCO ESTADO DO PARA S.A.;Não-liderança;752;1024;0;4;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Liderança;130;515;0;0;0
04.972.092/0001-22;2024-12-31;2;141601;GRUPO FARTURA DE HORTIFRUT S.A.;Não-liderança;3176;4463;0;0;0
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Liderança;713;476;0;3;1
04.986.320/0001-13;2024-12-31;9;141699;SER EDUCACIONAL S.A.;Não-liderança;3841;2684;12;14;18
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Liderança;10;37;0;0;0
04.992.714/0001-84;2024-12-31;6;141723;NOVA TRANSPORTADORA DO SUDESTE S.A. - NTS;Não-liderança;66;150;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Liderança;2680;1230;0;0;0
05.197.443/0001-38;2024-12-31;5;141626;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.;Não-liderança;49979;16301;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Liderança;105;78;0;0;0
05.347.060/0001-07;2024-12-31;2;138730;INTERPLAYERS SOLUÇÕES INTEGRADAS S.A.;Não-liderança;522;322;0;0;0
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Liderança;124;211;0;0;19
05.878.397/0001-32;2024-12-31;6;141918;ALLOS S.A.;Não-liderança;903;1151;0;0;201
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Liderança;14;28;0;0;0
05.917.486/0001-40;2024-12-31;2;141650;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.;Não-liderança;99;136;0;0;0
