CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Orgao_Administracao;Quantidade_Amarelo;Quantidade_Branco;Quantidade_Preto;Quantidade_Pardo;Quantidade_Indigena;Quantidade_Outros;Quantidade_Sem_Resposta;Nao_Aplicavel
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Diretoria;0;0;0;0;0;0;0;S
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;0;0;N
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;Diretoria;0;4;0;0;0;0;0;N
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho de Administração - Efetivos;0;5;0;0;0;0;0;N
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Diretoria;0;3;0;0;0;0;0;N
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho de Administração - Efetivos;1;8;0;1;0;0;1;N
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho Fiscal - Efetivos;0;3;0;0;0;0;0;N
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Conselho Fiscal - Suplentes;0;2;0;0;0;0;0;N
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Diretoria;0;10;0;0;0;0;0;N
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho de Administração - Efetivos;0;7;0;0;0;0;0;N
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;Diretoria;0;3;0;0;0;0;0;N
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Conselho de Administração - Efetivos;0;5;0;0;0;0;0;N
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Diretoria;0;2;0;0;0;0;0;N
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;3;N
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Diretoria;0;0;0;0;0;0;7;N
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Conselho de Administração - Efetivos;0;6;0;0;0;0;0;N
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Conselho Fiscal - Efetivos;0;3;0;0;0;0;0;N
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Diretoria;0;3;0;0;0;0;0;N
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;0;S
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Diretoria;0;0;0;0;0;0;0;S
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho de Administração - Efetivos;1;6;0;0;0;0;0;N
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho Fiscal - Efetivos;0;2;0;1;0;0;0;N
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Conselho Fiscal - Suplentes;0;1;0;2;0;0;0;N
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Diretoria;0;2;0;0;0;0;0;N
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Conselho de Administração - Efetivos;0;7;0;0;0;0;0;N
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Conselho Fiscal - Efetivos;0;5;0;0;0;0;0;N
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Conselho Fiscal - Suplentes;0;5;0;0;0;0;0;N
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Diretoria;0;4;0;1;0;0;0;N
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Conselho de Administração - Efetivos;0;3;0;0;0;0;0;N
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;Diretoria;0;4;0;0;0;0;0;N
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;Conselho de Administração - Efetivos;0;0;0;0;0;0;5;N
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;Conselho Fiscal - Efetivos;0;0;0;0;0;0;3;N
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;Conselho Fiscal - Suplentes;0;0;0;0;0;0;2;N
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;Diretoria;0;0;0;0;0;0;3;N
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Conselho de Administração - Efetivos;0;4;0;0;0;0;0;N
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Conselho de Administração - Suplentes;0;1;0;0;0;0;0;N
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Diretoria;0;3;0;1;0;0;0;N
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;7;N
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Conselho de Administração - Suplentes;0;1;0;0;0;0;5;N
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Diretoria;0;0;0;0;0;0;1;N
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;Conselho de Administração - Efetivos;0;3;0;0;0;0;0;N
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;Diretoria;0;2;0;0;0;0;0;N
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;Conselho de Administração - Efetivos;0;5;0;0;0;0;0;N
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;Conselho Fiscal - Efetivos;0;3;0;0;0;0;0;N
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;Conselho Fiscal - Suplentes;0;3;0;0;0;0;0;N
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;Diretoria;0;3;0;0;0;0;0;N
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho de Administração - Efetivos;0;8;0;0;0;1;0;N
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho Fiscal - Efetivos;0;5;0;0;0;0;0;N
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Conselho Fiscal - Suplentes;0;5;0;0;0;0;0;N
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Diretoria;0;8;0;0;0;0;0;N
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Conselho de Administração - Efetivos;0;12;1;0;0;0;0;N
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Conselho de Administração - Suplentes;0;10;0;0;0;0;0;N
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Conselho Fiscal - Efetivos;0;5;0;0;0;0;0;N
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Conselho Fiscal - Suplentes;0;5;0;0;0;0;0;N
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Diretoria;0;9;0;1;0;0;0;N
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho de Administração - Efetivos;0;5;0;0;0;0;0;N
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho Fiscal - Efetivos;0;2;0;1;0;0;0;N
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Conselho Fiscal - Suplentes;0;1;0;1;0;0;1;N
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Diretoria;0;2;0;0;0;0;0;N
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Conselho de Administração - Efetivos;0;5;0;0;0;0;0;N
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Diretoria;0;3;0;0;0;0;0;N
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;3;N
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Diretoria;0;0;0;0;0;0;5;N
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;0;S
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;Diretoria;0;0;0;0;0;0;0;S
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Conselho de Administração - Efetivos;0;10;0;0;0;0;0;N
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Diretoria;0;3;0;0;0;0;0;N
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Efetivos;0;0;0;0;0;0;6;N
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;Diretoria;0;0;0;0;0;0;7;N
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Conselho de Administração - Efetivos;0;5;0;0;0;0;0;N
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Conselho Fiscal - Efetivos;0;1;0;2;0;0;0;N
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Conselho Fiscal - Suplentes;0;3;0;0;0;0;0;N
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Diretoria;0;6;0;0;0;0;0;N
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Conselho de Administração - Efetivos;0;3;0;0;0;0;0;N
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Conselho de Administração - Suplentes;0;0;0;0;0;0;0;S
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Conselho Fiscal - Efetivos;0;0;0;0;0;0;0;S
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Conselho Fiscal - Suplentes;0;0;0;0;0;0;0;S
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Diretoria;0;4;0;0;0;0;0;N
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Conselho de Administração - Efetivos;0;7;0;0;0;0;0;N
