CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Total_Remuneracao;Orgao_Administracao;Numero_Membros;Total_Remuneracao_Orgao;Numero_Membros_Remunerados;Salario;Beneficios_Diretos_Indiretos;Participacoes_Comites;Outros_Valores_Fixos;Descricao_Outros_Remuneracoes_Fixas;Bonus;Participacao_Resultados;Participacao_Reunioes;Outros_Valores_Variaveis;Comissoes;Descricao_Outros_Remuneracoes_Variaveis;Pos_emprego;Cessacao_Cargo;Baseada_Acoes;Observacao
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2024-01-01;2024-12-31;76586205.36;Diretoria Estatutária;33.00;75521602.08;33.00;27024552.36;11078438.76;0.00;0.00;Não aplicavel;0.00;0.00;0.00;12472870.32;0.00;Referem-se a parcelas da Remuneração Variável dos Administrados (RVA) pagas em espécie no ano-calendário (visão Regime de Caixa).;0.00;12472870.32;12472870.32;O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2024-01-01;2024-12-31;76586205.36;Conselho Fiscal;5.00;409462.80;5.00;409462.80;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;Não aplicável.;0.00;0.00;0.00;1) Trata-se de previsão para 2024.2) O número total de membros de cada órgão (item "b" acima") corresponde à média anual do número de membros de cada órgão apurado mensalmente.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Conselho de Administração;9.00;841601.22;7.58;841601.22;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Diretoria Estatutária;10.00;8612978.57;9.50;4646069.76;0.00;0.00;0.00;;0.00;3966908.81;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;10093770.59;Conselho Fiscal;5.00;639190.80;5.00;639190.80;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;10874893.67;Conselho de Administração;9.00;1102998.56;9.00;1102998.56;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;10874893.67;Diretoria Estatutária;9.00;9198846.66;8.83;4373401.99;0.00;0.00;0.00;;0.00;4825444.67;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;10874893.67;Conselho Fiscal;5.00;573048.45;4.92;573048.45;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina.No campo outros (INSS Patronal) corresponde a 22,5%.A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;8348946.76;Conselho de Administração;9.00;947933.28;7.00;947933.28;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício-circular/CVM/SEP.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;8348946.76;Diretoria Estatutária;10.00;6735203.20;9.67;4891616.82;0.00;0.00;0.00;;0.00;1843586.38;0.00;0.00;0.00;;0.00;0.00;0.00;- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.- O campo Salário Pró-Labore da Diretoria Colegiada foi projetado incluindo a Gratificação Natalina. - A PLR é referente a 6 honorários e é paga da seguinte forma: 50% à vista e 50% diferidos para 4 anos, pagos por instrumento baseado em ações.
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;8348946.76;Conselho Fiscal;5.00;665810.28;4.92;665810.28;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;- O número de membros de cada órgão foi especificado conforme instruções contidas no Ofício- circular/CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Conselho de Administração;9.58;459824.38;7.00;459824.38;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Diretoria Estatutária;6.33;8084998.44;6.33;4542661.99;723545.97;0.00;0.00;;1671703.65;0.00;0.00;0.00;0.00;;764147.14;0.00;382939.69;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. A remuneração baseada em ações paga no exercício de 2022 ocorreu no âmbito do modelo conhecido como "Phantom Share", sem entrega de ações escriturais.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;8921048.92;Conselho Fiscal;4.92;376226.10;4.92;376226.10;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;7260161.61;Conselho de Administração;10.25;489995.11;7.42;489995.11;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;7260161.61;Diretoria Estatutária;5.83;6443744.90;5.83;3510603.79;802357.47;0.00;398855.46;FGTS;539105.56;0.00;0.00;0.00;0.00;;436363.19;0.00;756459.43;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP. A remuneração baseada em ações paga no exercício de 2021 ocorreu no âmbito do modelo conhecido como "Phantom Share", sem entrega de ações escriturais
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;7260161.61;Conselho Fiscal;5.00;326421.60;5.00;326421.60;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;92349167.54;Conselho de Administração;9.00;12035712.26;8.17;6380498.00;0.00;1735486.14;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;3919728.12;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;92349167.54;Diretoria Estatutária;9.83;79598409.85;9.83;14665902.31;2514359.88;0.00;0.00;;35157652.99;0.00;0.00;0.00;0.00;;2036240.02;550000.00;24674254.65;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2024-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;92349167.54;Conselho Fiscal;5.00;715045.43;5.00;715045.43;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;O número de membros corresponde à média anual do número de membros do referido órgão da administração apurado mensalmente, conforme disposto no Ofício-Circular /ANUAL-2023-CVM/SEP.
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;81074264.33;Conselho de Administração;9.00;13219728.12;9.00;9300000.00;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;3919728.12;-
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;81074264.33;Diretoria Estatutária;12.00;67097036.21;12.00;18180000.00;1794932.28;0.00;0.00;-;29395950.00;0.00;0.00;0.00;0.00;-;2448690.87;770000.00;14507463.06;-
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;81074264.33;Conselho Fiscal;5.00;757500.00;5.00;757500.00;0.00;0.00;0.00;-;0.00;0.00;0.00;0.00;0.00;-;0.00;0.00;0.00;-
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;3703687.00;Conselho de Administração;9.00;713849.00;8.00;590446.00;0.00;0.00;123403.00;Encargos sociais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;3703687.00;Diretoria Estatutária;4.00;2515769.00;4.00;1449336.00;522172.00;0.00;544261.00;Encargos sociais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021-01-01;2021-12-31;3703687.00;Conselho Fiscal;5.00;474069.00;5.00;393631.00;0.00;0.00;80438.00;Encargos sociais;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;3666924.00;Conselho de Administração;9.00;765410.00;9.00;629809.00;125961.00;0.00;9640.00;Não há outras remunerações fixas além do pró-labore.;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;3666924.00;Diretoria Estatutária;4.00;2423600.00;4.00;1436679.00;986921.00;0.00;0.00; Pró-labore (salário)  Benefícios (Diretores e Diretores empregados)  Encargos Sociais e  Outros.;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022-01-01;2022-12-31;3666924.00;Conselho Fiscal;5.00;477914.00;5.00;393631.00;78726.00;0.00;5557.00; Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos);0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Fiscais a Remuneração Variável.;0.00;0.00;0.00;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;4791273.00;Conselho de Administração;9.00;905287.00;9.00;751657.00;0.00;0.00;153630.00; Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos);0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;4791273.00;Diretoria Estatutária;4.00;3362736.00;4.00;1765796.00;946935.00;0.00;650005.00; Pró-labore (salário)  Benefícios (Diretores e Diretores empregados)  Encargos Sociais e  Outros.;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023-01-01;2023-12-31;4791273.00;Conselho Fiscal;5.00;523250.00;5.00;441208.00;0.00;0.00;82042.00; Pró-labore (salário) Benefício previdenciário, saúde e odontológico Encargos Sociais e  Outros (ressarcimentos diversos).;0.00;0.00;0.00;0.00;0.00;A Companhia não adota aos Administradores a Remuneração Variável.;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;6070474.00;Conselho de Administração;9.00;1489528.00;9.00;869301.00;439898.00;0.00;180329.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;6070474.00;Diretoria Estatutária;4.00;3757025.00;4.00;1931782.00;1137851.00;687392.00;0.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024-01-01;2024-12-31;6070474.00;Conselho Fiscal;5.00;823921.00;5.00;482945.00;244387.00;0.00;96589.00;Encargos Sociais;0.00;0.00;0.00;0.00;0.00;Não há remuneração variável;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;22922662.45;Conselho de Administração;7.00;6220000.38;7.00;5166735.20;1053265.18;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;22922662.45;Diretoria Estatutária;13.00;16702662.07;13.00;6380802.21;2505309.45;0.00;0.00;;0.00;7816550.41;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;22922662.45;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;26231356.88;Conselho de Administração;7.00;7558893.03;7.00;5709383.10;1849509.93;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;26231356.88;Diretoria Estatutária;12.00;18672463.85;12.00;6836444.97;3505924.63;0.00;0.00;;0.00;8330094.25;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;26231356.88;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;22671888.73;Conselho de Administração;9.00;8524885.88;9.00;7073429.30;1451456.58;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;22671888.73;Diretoria Estatutária;12.00;14147002.85;12.00;6720935.60;2852135.06;0.00;0.00;;0.00;4573932.19;0.00;0.00;0.00;;0.00;0.00;0.00;
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;22671888.73;Conselho Fiscal;0.00;0.00;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;0.00;0.00;;0.00;0.00;0.00;
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2022-01-01;2022-12-31;0.00;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;Os Membros do Conselho não receberam remuneração.;0.00;0.00;0.00;0.00;0.00;não se aplica;0.00;0.00;0.00;não se aplica
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;2024-01-01;2024-12-31;0.00;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;não se aplica;0.00;0.00;0.00;0.00;0.00;não se aplica;0.00;0.00;0.00;não se aplica
