CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Auditor;Auditor;CPF_Auditor;CNPJ_Auditor;Codigo_CVM_Auditor;Tipo_Origem_Auditor;Data_Inicio_Contratacao;Data_Fim_Contratacao;Data_Inicio_Prestacao_Servico;Servico_Contratado;Remuneracao_Auditor;Justificativa_Substituicao;Razao_Apresentada
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;124411;CONSULT - AUDITORES INDEPENDENTES;;77998276000135;002755;Nacional;2022-10-17;;2022-10-17;Serviços técnicos especializados em auditoria independente das demonstrações contábeis.;No exercício de 2023, a Companhia realizou pagamentos relativo aos serviços de auditoria no montante de R$ 39.000,00.;Nova licitação;Não houve discordância.
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;127219;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2019-01-28;;2019-01-01;Serviços profissionais relativos a prestação, pelos auditores independentes, de serviços regulares de auditoria independente (i.a) sobre as demonstrações financeiras individuais, consolidadas e regulatórias, preparadas de acordo com as práticas contábeis adotadas no Brasil, nos termos dos pronunciamentos contábeis elaborados pelo Comitê de Pronunciamentos Contábeis (CPC) e pela Comissão de Valores Mobiliários (CVM), referentes aos exercícios sociais findo em 31 de dezembro de 2021, 2022 e 2023, e (i.b) revisão das informações financeiras trimestrais e emissão de relatório sobre as informações contábeis intermediárias da Companhia para os períodos findos em 31 de março, 30 de junho e 30 de setembro de 2021, 2022 e 2023, de acordo com o CPC 21 (R1) - Demonstração Intermediária e a IAS 34 - Interim Financial Reporting, emitida pela International Accounting Standard Board - IASB.;No exercício social encerrado em 31 de dezembro de 2023, os auditores independentes da Companhia, em contrapartida aos serviços prestados nos termos do item (i) acima, receberam honorários que totalizaram o valor de R$3.733 mil (considerando os serviços prestados apenas para a Eletronorte). Esses honorários são pagos pela Eletrobras, acionista controladora da Companhia, e reembolsados pela Eletronorte, observadas as regras de rateio aplicáveis ao grupo Eletrobras. Para mais informações sobre o tema, ver item 11.2 do Formulário de Referência.;Não aplicável;Não aplicável
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;124899;ERNST & YOUNG AUDITORES INDEPENDENTES S/S LTDA;;61366936000800;004715;Nacional;2024-04-08;;2023-01-01;A EY Brasil foi contratada para realizar a auditoria e emitir relatório sobre as demonstrações financeiras individuais e consolidadas da Atom Empreendimentos e Participações S.A. (a "Companhia") para o exercício a findar-se em 31 de dezembro de 2024. A EY Brasil também foi contratada para fazer a revisão e emitir um relatório sobre as informações financeiras intermediárias não auditadas da Companhia dos períodos a findar-se em 31 de março de 2024, 30 de junho de 2024 e 30 de setembro de 2024.;A EY Brasil estima que os seus honorários para os Serviços de Auditoria sejam de R$ 245.000,00 (duzentos e quarenta e cinco mil reais), líquido de impostos. Contudo, os honorários reais podem exceder essa estimativa dependendo das mudanças ocorridas nos negócios ou trabalhos não previstos no escopo.;N/A;N/A
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;126815;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2021-12-09;;2021-12-09;Auditoria das Demonstrações Financeiras, Revisão Especial das Informações Trimestrais (ITR), Revisão Tributária e Outros Serviços de Auditoria.;a.honorários relativos a serviços de auditoria externa: R$ 1.064.898,77i.Auditoria das Demonstrações Financeiras: R$ 917.765,45ii.Revisão Especial das Informações Trimestrais (ITR): R$ 79.967,20iii.Revisão Tributária: R$ 67.166,12 iv.Outros serviços de Auditoria: não houve. b.    honorários relativos a quaisquer outros serviços prestados: não houve prestação de outros serviços, além dos serviços de auditoria externa mencionados no item 2.2.a.;não houve substituição do auditor.;não houve substituição do auditor.
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;125706;ERNST & YOUNG AUDITORES INDEPENDENTES S/S Ltda;;61366936000125;004715;Nacional;2016-01-01;;2016-01-01;(i)Serviço de auditoria das Demonstrações Financeiras referentes ao exercício social encerrado em 31 de dezembro de 2023 e das Informações trimestrais individuais de 2023(ii) Laudo de avaliação LMTS;R$ 856mil:(i)Serviço de auditoria das Demonstrações Financeiras referentes ao exercício social encerrado em 31 de dezembro de 2023 e das Informações trimestrais individuais de 2023 - R$ 778 mil(ii) Laudo de avaliação LMTS - R$ 78 mil;Prazo limite para substituição do auditor atingido.;Não aplicável.
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;122962;Mazars Auditores Independentes - Sociedade Simples Ltda;;07326840000198;010723;Nacional;2020-06-10;;2020-06-10;Auditoria independente das demonstrações financeiras e ITRs;Valores totais para auditoria de cada exercício: (i) R$70.000,00 para o exercício de 2020, (ii) R$74.270,00 para o exercício de 2021, (iii) R$81.883,00 para o exercíco de 2022 e, (iv) para o exercício de 2023 os honorários corresponderão ao valor base de 2022 corrigido pelo IPCA;O auditor anterior (RSM BRASIL AUDITORES INDEPENDENTES) completou o prazo máximo de 05 exercícios sociais consecutivos auditando a companhia.;Não houve discordância
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;124709;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112002417;002879;Nacional;2022-01-01;;2022-01-01;Serviços de Auditoria da Holding e de seus ativos;1.151.382,00;Com a determinação a respeito da rotação a cada 5 (cinco) anos, conforme Instrução CVM 308/1999, a alteração obrigatória aconteceu no início do exercício de 2022.;Não há.
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;125994;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000201;002879;Nacional;2022-12-27;;2023-01-01;No exercício de 2023, os auditores independentes prestaram os seguintes serviços: (i) a emissão de parecer de auditoria das Demonstrações Financeiras Societárias (DF's) em 31 de dezembro de 2023 (ii) emissão de relatório de revisão das nossas ITR's nas respectivas datas-base 31/03/2023, 30/06/2023 e 30/09/2023 (iii) revisão dos controles de SCIRF e (iv) revisão do Relatório de Controle Patrimonial exigido pela ANEEL.;Para o exercício social de 2023 o montante total esperado da remuneração dos auditores independentes referente a Emissão de parecer de auditoria das DF's de 31 de dezembro de 2023, revisão das nossas ITR's para os períodos de 31/03/2023, 30/06/2023 e 30/09/2023, revisão dos controles de SCIRF e revisão do relatório de controle patrimonial foi de R$201.836,66.;Não aplicável, tendo em vista que a PWC não foi substituída.;Não aplicável
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;124112;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000390;004189;Nacional;2014-05-16;;2014-05-16;Examinar as demonstrações financeiras da Litel Participações S.A., e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa, bem como as correspondentes notas explicativas, incluindo as políticas contábeis significativas e outras informações elucidativas.;Pelos serviços prestados a KPMG  fará jus ao recebimento de honorários no valor de R$ 87.300,00 anuais. O valor dos honorários anuais serão reajustados conforme índice inflacionário IPCA acumulado dos últimos 12 meses a partir de junho de 2014;rodízio obrigatório de auditores;Não aplicável
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;124113;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2019-04-05;;2019-04-05;Examinar as demonstrações financeiras da Litel Participações S.A., e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa, bem como as correspondentes notas explicativas, incluindo as políticas contábeis significativas e outras informações elucidativas.;Valor anual de R$160.000,00 (cento e sessenta mil reais), sujeito a atualização pelo IGP-M/FGV;Rodízio obrigatório de auditores;Não aplicável
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;124114;BAKER TILLY BRASIL RJ AUDITORES INDEPENDENTES LTDA;;13859935000170;011932;Nacional;2024-02-19;;2024-02-19;Examinar as demonstrações financeiras da Litel Participações S.A., e as respectivas demonstrações do resultado, do resultado abrangente, das mutações do patrimônio líquido e dos fluxos de caixa, bem como as correspondentes notas explicativas, incluindo as políticas contábeis significativas e outras informações elucidativas.;Valor anual líquido de R$93.000,00 (noventa e três mil reais), sujeito a atualização pelo IGPM/IPCA.;Rodízio obrigatório de auditores;Não aplicável
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;127127;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2023-06-28;;2022-01-01;Auditoria das demonstrações contábeis individuais e consolidadas  elaboradas de acordo com as práticas contábeis adotadas no Brasil e as Normas Internacionais de Relatório Financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB),  correspondente ao exercício findos em 31 de dezembro de 2023, incluindo a Revisão das Informações Trimestrais (ITR's) dos períodos findos em 31 de março, 30 de junho, 30 de setembro de 2023, e dos períodos findos em 31 de março e 30 de junho de 2024.;O valor dos honorários de 2023 relativos a serviços de auditoria das demonstrações contábeis individuais e consolidadas foi de R$4.909.801,24. e os honorarios para a revisão das informações trimestrais efetuadas em 2024 foram de R$ 699.095,62;Substituição necessária em função dos Fatos Relevantes de 13 e 14 de junho de 2023.;Não aplicável
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;127007;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2021-12-16;;2022-01-01;Revisão das informações financeiras trimestrais a partir do período dos três meses findos em 31 de março de 2022, e auditoria das demonstrações financeiras a partir do exercício de 2022.;Remuneração total da DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA paga pela Companhia e suas controladas em 2023 foi de R$10.028 pelos serviços prestados de auditoria das demonstrações financeiras, e revisão das informações financeiras trimestrais.;Não houve substituição dos auditores independentes.;Não houve substituição dos auditores independentes.
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;124405;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000111;003859;Nacional;2022-03-17;;2022-01-01;Os auditores independentes prestarão os serviços de: (i) auditoria das demonstrações financeiras individuais e consolidadas da Companhia, referentes aos exercícios sociais encerrados em 31 de dezembro de 2026, 2025, 2024, 2023, 2022, preparadas de acordo com as Normas Internacionais de Relatório Financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB) e também de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) (ii) revisão das informações trimestrais preparadas de acordo com o CPC 21/IAS 34 em 2026, 2025, 2024, 2023, e 2022 (somente para fins comparativos com os relatórios do item (i), sem emissão de relatório específico).;A remuneração aos auditores independentes relativa ao exercício de 2023 foi de: R$ 1.220.991,25 relativo aos serviços de auditoria da Let's Rent a Car S.A. e suas controladas e honorários R$ 500.000 (quinhentos mil reais) para os exercícios a findarem-se em 31 de dezembro de 2024, 2025 e de 2026.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.;Não aplicável, tendo em vista que não houve substituição dos auditores independentes.
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;124406;KPMG AUDITORES INDEPENDENTES LTDA;;57755217000129;004189;Nacional;2017-03-03;;2017-01-01;Os auditores independentes prestaram os serviços de: (i) auditoria das demonstrações financeiras individuais e consolidadas da Companhia, referentes aos exercícios sociais encerrados em 31 de dezembro de 2020, 2019, 2018, preparadas de acordo com as Normas Internacionais de Relatório Financeiro (IFRS) emitidas pelo International Accounting Standards Board (IASB) e também de acordo com as práticas contábeis adotadas no Brasil (BR GAAP) (ii) revisão das informações trimestrais preparadas de acordo com o CPC 21/IAS 34 em 2018, 2019, 2020 e no exercício social corrente e (iii) procedimentos pré-acordados em conexão com oferta pública de ações.;Não aplicável.;Em atendimento ao art. 31 da Resolução CVM 23/2021, o Conselho de Administração aprovou a contratação da DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA em substituição à KPMG Auditores Independentes, em razão de, no mesmo período, ter ocorrido a substituição da KPMG Auditores Independentes pela DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA, como auditora de sua controladora, a Vix Logística S.A.;Não aplicável.
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;124552;VGA Auditores Independentes;;83280859000129;003689;Nacional;2018-08-05;;2018-08-05;Serviços de Auditoria Externa Independente;22023,60;n/a;n/a
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;124553;MÜLLER & PREI AUDITORES INDEPENDENTES S/S;;12018605000199;011428;Nacional;2023-05-02;;2023-05-02;auditoria;12118,05;n/a;n/a
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;126118;DELOITTE TOUCHE TOHMATSU AUDITORES INDEPENDENTES LTDA;;49928567000626;003859;Nacional;2019-01-22;;2019-01-22;A Deloitte Touche Tohmatsu Auditores Independentes ("Deloitte") prestou os seguintes serviços para a Companhia: (i) auditoria independente das demonstrações financeiras da Companhia referentes aos exercícios sociais findos em 31 de dezembro de 2023, 2022 e 2021 (ii) serviços de revisão das Informações Trimestrais - ITR da Companhia relativas ao período findo em 31 de março, 30 de junho e 30 de setembro  de 2023, 2022 e 2021, bem como a auditoria completa das demonstrações financeiras dos exercícios findos em 31 de dezembro de 2023, 2022 e 2021.;A remuneração paga aos auditores independentes no exercício social de 2023 foi de R$ 496.175,16 referentes a serviços de auditoria.;A partir de 2024 houve rotação do prestador de serviços de auditoria externa independente, conforme roga a instrução 308/199.;Não Aplicável.
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;126119;PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA;;61562112000120;002879;Nacional;2023-11-29;;2024-01-01;1)Relatório de auditoria sobre as demonstrações contábeis em 31/12/2024, 31/12/2025, 31/12/2026, 31/12/2027 e 31/12/2028 elaboradas de acordo com as práticas contábeis adotadas no Brasil2)Relatórios de revisão das informações contábeis intermediárias em 31/03/2024, 30/06/2024, 30/09/2024, 31/03/2025, 30/06/2025, 30/09/2025, 31/03/2026, 30/06/2026, 30/09/2026, 31/03/2027, 30/06/2027, 30/09/2027, 31/03/2028, 30/06/2028, 30/09/2028 elaboradas de acordo com o CPC 21 (RI) e com a norma internacional IAS 34 - Interim Financial Reporting, emitida pelo Internacional Accounting Standards Board - IASB3)Relatórios de recomendações sobre os controles internos, compreendendo nossas constatações.;Não houve remuneração do auditor no último exercício social;A partir de 2024 houve rotação do prestador de serviços de auditoria externa independente, conforme resolução CVM 23/2021.;Não Aplicável.
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;126404;BKR - LOPES, MACHADO AUDITORES;;40262602000131;005363;Nacional;2019-01-11;;2019-01-11;11/01/2019 / Serviço de auditora externa, com finalidade de emitir parecer sobre as Demonstrações Financeiras do período de dezembro/2022 a dezembro/2023.;Serviço de auditoria, com finalidade de emitir parecer sobre as Demonstrações Financeiras - R$ 165.656,00.;O auditor independente BKR - Lopes, Machado Auditores substituiu em 11/01/2019 ao Auditor Independente Pricewaterhousecoopers Auditores Independentes em virtude de substituição em cumprimento a regra de rodízio conforme Instrução CVM 308/1999.;Não houve discordância.
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;126405;BDO RCS Auditores Independentes - Sociedade Simples Limitada;;54276936000179;010324;Nacional;2023-12-20;;2024-01-01;Serviço de auditora externa, com finalidade de emitir parecer sobre as Informações Trimestrais e Demonstrações Financeiras do exercício de 2024.;Serviço de auditoria, com finalidade de emitir parecer sobre as Informações Trimestrais e Demonstrações Financeiras - R$ 58.775,51;O auditor independente BDO - RCS Auditores Independentes substituiu em 01/01/2024 ao Auditor Independente BKR - Lopes, Machado Auditores Independentes em virtude de substituição em cumprimento a regra de rodízio conforme Instrução CVM 308/1999.;Não houve discordância
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;124054;MAZARS AUDITORES INDEPENDENTES - SOCIEDADE SIMPLES LTDA;;07326840000350;010723;Nacional;2021-06-24;;2021-04-01;(i)Auditoria anual de balanço individual e consolidado referente aos exercícios sociais de 2021 a 2025 (ii) Revisão de Informações Trimestrais individuais dos exercícios sociais de 2021 a 2025 da Companhia e suas investidas (iii) serviços relacionados à emissão de carta conforto para emissão de dívidas da Companhia e de suas investidas e (iv) Relatório Carta - Comentário referente aos exercícios sociais de 2021 a 2025 da Companhia e suas investidas.;(i)honorários e reembolso de despesas relativos a serviços de auditoria externa pelos serviços prestados acima relacionados no exercício social a encerrar em 31/12/2023, a Companhia desembolsou o valor total de R$ 76.187,72.(ii)honorários relativos a quaisquer outros serviços prestados, independente desses serviços terem representado menos de 5% da remuneração pelos serviços de auditoria externa: Não houve pagamentos relacionados a outros serviços que não sejam de auditoria externa.;Não aplicável.;Não aplicável.
