CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
00.192.769/0001-59;2024-12-31;1;138409;NEUMARKT TRADE AND FINANCIAL CENTER S/A;316328;Capital Autorizado;1994-08-23;10000.00;;10000;0;10000
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;321582;Capital Autorizado;2021-05-13;4600000000.00;;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;321583;Capital Emitido;2024-08-26;1823775052.41;;2014441535;0;2014441535
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;321584;Capital Subscrito;2024-08-26;1823775052.41;;2031549574;0;2031549574
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;321585;Capital Integralizado;2024-08-26;1823775052.41;;2031549574;0;2031549574
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;322229;Capital Autorizado;2021-05-07;2000000000.00;N/A;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;322230;Capital Emitido;2024-04-30;1134339481.70;N.A.;346494097;0;346494097
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;322231;Capital Subscrito;2024-04-30;1134339481.70;N.A.;346494097;0;346494097
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;322232;Capital Integralizado;2024-04-30;1134339481.70;N.A.;346494097;0;346494097
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;316104;Capital Integralizado;2024-02-27;2743855.79;;26286458;52572756;78859214
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;316105;Capital Emitido;2024-02-27;2743855.79;;26286458;52572756;78859214
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;316106;Capital Subscrito;2024-02-27;2743855.79;;26286458;52572756;78859214
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;316079;Capital Integralizado;2022-12-27;3474498085.47;;67975599;18407491;86383090
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;316080;Capital Subscrito;2022-12-27;3474498085.47;;67975599;18407491;86383090
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;323108;Capital Emitido;2023-10-31;20336183860.17;Não Aplicável;168044751;0;168044751
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;323109;Capital Subscrito;2023-10-31;20336183860.17;Não Aplicável;168044751;0;168044751
00.357.038/0001-16;2024-12-31;5;142109;CENTRAIS ELÉTRICAS DO NORTE DO BRASIL S.A.;323110;Capital Integralizado;2023-10-31;20336183860.17;Não Aplicável;168044751;0;168044751
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;317218;Capital Integralizado;2021-04-29;13914270.83;;23804898;0;23804898
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;322049;Capital Autorizado;2018-06-29;100000000000.00;;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;322050;Capital Emitido;2023-04-28;34459314837.48;;1000000;0;1000000
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;322051;Capital Subscrito;2023-04-28;34459314837.48;;1000000;0;1000000
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;322052;Capital Integralizado;2023-04-28;34459314837.48;;1000000;0;1000000
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;319271;Capital Subscrito;2022-04-30;1093350865.39;;211815;0;211815
00.389.481/0001-79;2024-12-31;2;139589;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;319272;Capital Integralizado;2022-04-30;1093350865.39;;211815;0;211815
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;312810;Capital Autorizado;2010-04-30;32683241.00;;29188116;0;29188116
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;316782;Capital Integralizado;2023-12-21;4116767067.51;01/10/2024;645753340;0;645753340
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;319999;Capital Subscrito;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;320000;Capital Integralizado;2009-04-07;961793701.46;;402202308;384203962;786406270
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;320001;Capital Emitido;2009-04-07;961793701.46;;402202308;384203962;786406270
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;315377;Capital Emitido;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;315378;Capital Subscrito;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;315379;Capital Integralizado;2019-09-09;21844245.97;;215495403;0;215495403
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;315380;Capital Autorizado;1995-07-27;0.00;;600000000;0;600000000
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;322883;Capital Emitido;2024-09-12;39918281994.96;12/09/2024;200218764;0;200218764
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;322884;Capital Subscrito;2024-09-12;39918281994.96;12/09/2024;200218764;0;200218764
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;322885;Capital Integralizado;2024-09-12;39918281994.96;12/09/2024;200218764;0;200218764
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;322886;Capital Autorizado;2024-05-21;0.00;21/05/2024;435084497;0;435084497
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;322592;Capital Emitido;2024-02-09;7540742407.40;;887231247;1402193416;2289424663
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;322593;Capital Subscrito;2024-02-09;7540742407.40;;887231247;1402193416;2289424663
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;322594;Capital Integralizado;2024-02-09;7540742407.40;;887231247;1402193416;2289424663
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;322595;Capital Autorizado;2018-04-25;0.00;;1000000000;2000000000;3000000000
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;316067;Capital Emitido;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;316068;Capital Subscrito;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.873.894/0001-24;2024-12-31;1;138299;LETS RENT A CAR S/A;316069;Capital Integralizado;2023-09-30;578986461.00;N/A;578986461;0;578986461
00.897.864/0001-58;2024-12-31;1;138445;SANTA CATARINA PART INVEST SA;316403;Capital Autorizado;1995-11-13;200000000.00;;200000;0;200000
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320352;Capital Integralizado;2021-08-09;4663323193.63;;142807784;19;142807803
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320353;Capital Integralizado;2020-10-23;4663257541.95;;136242616;19;136242635
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320354;Capital Integralizado;2019-06-21;4663149572.80;;125445701;19;125445720
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320355;Capital Integralizado;2018-05-02;4638836550.90;;112303527;19;112303546
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320356;Capital Integralizado;2016-10-11;4558858541.93;;367645433926725;66665012;367645500591737
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320357;Capital Emitido;2010-04-29;1722965684.34;29/04/2010;210197577031248;66665012;210197643696260
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320358;Capital Subscrito;2010-04-29;1722965684.34;29/04/2010;210197577031248;66665012;210197643696260
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;320359;Capital Autorizado;2003-05-14;1600000000.00;;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;321098;Capital Subscrito;2024-04-11;57899999.89;;48786;37680;86466
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;315208;Capital Emitido;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;315209;Capital Subscrito;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;315210;Capital Integralizado;2021-02-22;91953381.48;;70666879;141333771;212000650
00.974.211/0001-25;2024-12-31;1;137926;LINHA AMARELA S.A. - LAMSA;315211;Capital Autorizado;1998-12-22;58046618.52;;0;0;0
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;313489;Capital Subscrito;2024-04-02;720743940.06;;2402611661;0;2402611661
00.979.969/0001-56;2024-12-31;1;136648;CAIXA ADM DIV PUB ESTADUAL SA;313490;Capital Integralizado;2024-04-02;720743940.06;;2402611661;0;2402611661
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;323269;Capital Emitido;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;323270;Capital Subscrito;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;323271;Capital Integralizado;2019-04-18;5700000000.00;;2716815061;0;2716815061
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;323272;Capital Autorizado;2011-04-29;263834773.86;;2400000000;0;2400000000
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;322303;Capital Emitido;2023-04-27;16919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;322304;Capital Subscrito;2023-04-27;16919982151.71;;1213797248;0;1213797248
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;322305;Capital Integralizado;2023-04-27;16919982151.71;;1213797248;0;1213797248
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;319835;Capital Emitido;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;319836;Capital Subscrito;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;319837;Capital Integralizado;2010-08-25;118054887.48;;11764889;0;11764889
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;319838;Capital Autorizado;1996-12-15;1500000000.00;;11764889;0;11764889
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;322836;Capital Autorizado;2021-06-23;1800000000.00;;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;322837;Capital Emitido;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;322838;Capital Subscrito;2019-12-17;102489376.00;;40760818;0;40760818
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;322839;Capital Integralizado;2019-12-17;102489376.00;;40760818;0;40760818
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;319370;Capital Emitido;2024-04-29;0.00;6.848.632.783,73;315866393927623;480557389696029;796423783623652
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;319371;Capital Subscrito;2024-04-29;0.00;6.848.632.783,73;315866393927623;480557389696029;796423783623652
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;319372;Capital Integralizado;2024-04-29;0.00;6.848.632.783,73;315866393927623;480557389696029;796423783623652
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;319373;Capital Autorizado;2024-04-29;5000000000.00;;0;0;0
01.319.044/0001-41;2024-12-31;1;137920;WTC AMAZONAS SUITE HOTEL S.A.;315203;Capital Integralizado;1996-06-01;50000.00;;100;0;100
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;322576;Capital Emitido;2024-04-27;4036872327.86;;187210201;150766818;337977019
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;322577;Capital Autorizado;2024-04-27;963127672.14;;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;322578;Capital Integralizado;2024-04-27;4036872327.86;;187210201;150766818;337977019
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;322579;Capital Subscrito;2024-04-27;4036872327.86;;187210201;150766818;337977019
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;322625;Capital Emitido;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;322626;Capital Subscrito;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;322627;Capital Integralizado;2021-02-03;5664951979.22;;283067254;0;283067254
01.543.032/0001-04;2024-12-31;5;141924;EQUATORIAL GOIÁS DISTRIBUIDORA DE ENERGIA S.A.;322628;Capital Autorizado;2023-02-27;2000000000.00;;1;0;1
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;322710;Capital Integralizado;2024-09-19;1701598382.04;n/a;115936297;0;115936297
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;322711;Capital Subscrito;2024-09-19;1701598382.04;n/a;115936297;0;115936297
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;322712;Capital Emitido;2024-09-19;1701598382.04;n/a;115936297;0;115936297
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;322713;Capital Autorizado;2020-08-07;0.00;;442717977;0;442717977
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;322204;Capital Emitido;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;322205;Capital Integralizado;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;322206;Capital Subscrito;2015-04-30;123144439.42;n/a;792124;1571812;2363936
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;322007;Capital Emitido;2024-09-13;997098429.96;N/A;22417664;0;22417664
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;322008;Capital Subscrito;2024-09-13;997098429.96;N/A;22417664;0;22417664
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;322009;Capital Integralizado;2024-09-13;997098429.96;N/A;22417664;0;22417664
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;322010;Capital Autorizado;2020-08-12;3000000000.00;N/A;0;0;0
01.616.929/0001-02;2024-12-31;5;141681;SANEAMENTO DE GOIAS SA;321882;Capital Emitido;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2024-12-31;5;141681;SANEAMENTO DE GOIAS SA;321883;Capital Subscrito;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2024-12-31;5;141681;SANEAMENTO DE GOIAS SA;321884;Capital Integralizado;2020-01-30;2515546367.76;;1866906374;648639993;2515546367
01.616.929/0001-02;2024-12-31;5;141681;SANEAMENTO DE GOIAS SA;321885;Capital Autorizado;2014-06-04;3125000000.00;;2500000000;625000000;3125000000
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;323122;Capital Emitido;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;323123;Capital Subscrito;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;323124;Capital Integralizado;2021-10-04;7708353218.99;;9225042782;300571428;9525614210
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;323125;Capital Autorizado;2013-04-30;12000000000.00;;0;0;0
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;321416;Capital Emitido;2024-03-28;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;321417;Capital Subscrito;2024-03-28;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;321418;Capital Integralizado;2024-03-28;13653417953.36;;1682473246;0;1682473246
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;321419;Capital Autorizado;2023-07-03;0.00;;1825000000;0;1825000000
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;315435;Capital Subscrito;2022-04-29;1015904.66;12 MESES;1377041061;0;1377041061
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;315436;Capital Subscrito;2021-04-30;895904.66;12 MESES;446808503;0;446808503
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;315437;Capital Emitido;2023-04-28;1135904.66;12 meses;4234183008;0;4234183008
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;315438;Capital Integralizado;2024-04-30;1235904.66;12 meses;10116536859;0;10116536859
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;320546;Capital Emitido;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;320547;Capital Subscrito;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;320548;Capital Integralizado;2023-05-04;229231849.61;;41800000;0;41800000
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;320549;Capital Autorizado;2023-05-04;1000000000.00;;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;318867;Capital Subscrito;2024-04-04;90977581.00;;77421581;0;77421581
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;318868;Capital Integralizado;2024-04-04;90977581.00;;77421581;0;77421581
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;318869;Capital Emitido;2024-04-04;90977581.00;;77421581;0;77421581
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;322573;Capital Emitido;2023-12-15;612157210.45;;9495733;9412283;18908016
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;322574;Capital Subscrito;2023-12-15;612157210.45;;9495733;9412283;18908016
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;322575;Capital Integralizado;2023-12-15;612157210.45;;9495733;9412283;18908016
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316687;Capital Emitido;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316688;Capital Subscrito;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316689;Capital Integralizado;2014-12-26;28385040.47;;83596902573;0;83596902573
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316690;Capital Emitido;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316691;Capital Emitido;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316692;Capital Subscrito;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316693;Capital Subscrito;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316694;Capital Integralizado;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316695;Capital Integralizado;2009-07-01;18985040.47;;48582043390;0;48582043390
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316696;Capital Autorizado;1997-12-31;3500000000.00;;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;316697;Capital Autorizado;1997-12-31;3500000000.00;;0;0;0
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;316394;Capital Emitido;2021-11-30;66071387.00;30/11/2021;30829941;30829941;61659882
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;316395;Capital Subscrito;2021-11-30;66071387.00;30/11/2021;30829941;30829941;61659882
01.968.293/0001-68;2024-12-31;1;138438;ELETRORIVER S.A.;316396;Capital Integralizado;2021-11-30;66071387.00;30/11/2021;30829941;30829941;61659882
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;316764;Capital Integralizado;1997-06-16;50000.00;;1000;0;1000
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;321900;Capital Emitido;2024-04-25;2864104916.22;Não aplicável;1125427;0;1125427
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;321901;Capital Subscrito;2024-04-25;2864104916.22;Não aplicável;1125427;0;1125427
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;321902;Capital Integralizado;2024-04-25;2864104916.22;Não aplicável;1125427;0;1125427
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;321903;Capital Autorizado;2024-04-25;0.00;Não aplicável;1125427;0;1125427
02.016.507/0001-69;2024-12-31;1;135512;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;311353;Capital Emitido;2023-10-31;7067586256.05;Não Aplicável;499362292202;0;499362292202
02.016.507/0001-69;2024-12-31;1;135512;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;311354;Capital Subscrito;2023-10-31;7067586256.05;Não Aplicável;499362292202;0;499362292202
02.016.507/0001-69;2024-12-31;1;135512;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;311355;Capital Integralizado;2023-10-31;7067586256.05;Não Aplicável;499362292202;0;499362292202
02.016.507/0001-69;2024-12-31;1;135512;CIA DE GER. E TRANS. DE ENERGIA ELÉTRICA DO SUL DO BRASIL;314012;Capital Emitido;2023-10-31;7067586256.05;Não Aplicável;499362292202;0;499362292202
