CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Diluicao_Potencial;Preco_Medio_Ponderado_Opcoes_Em_Aberto;Preco_Medio_Ponderado_Opcoes_Perdidas;Preco_Medio_Ponderado_Opcoes_Exercidas
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.31;1.00;0.000000;2.52;0.00;2.52
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;1.00;0.000000;9.11;0.00;8.98
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.000000;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0.000000;0.00;0.00;0.00
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.000000;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;4.17;0.050000;0.00;0.00;32.40
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.050000;0.00;0.00;14.50
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;2.00;0.00;0.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;6.000000;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;37.000000;0.00;0.00;0.00
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2023-01-01;2023-12-31;Conselho de Administração;6.33;5.33;0.750000;4.41;0.00;0.00
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.25;4.25;2.300000;4.41;0.00;0.00
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;6.00;0.760000;2.27;0.00;0.00
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;2.800000;2.27;0.00;2.19
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;4.00;0.420000;2.15;0.00;0.00
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;9.00;0.830000;2.15;0.00;2.17
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;4.00;0.010000;0.21;0.00;0.00
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.010000;0.21;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;8.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.08;4.08;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;5.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Conselho Fiscal;0.00;0.00;0.000000;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.67;4.67;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0.000000;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.75;0.00;0.000000;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.92;0.00;0.000000;0.00;0.00;0.00
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.92;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.67;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2024-01-01;2024-12-31;Conselho Fiscal;4.00;0.00;0.000000;0.00;0.00;0.00
02.255.187/0001-08;2024-12-31;4;141971;UNIFIQUE TELECOMUNICAÇÕES S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;2.000000;0.00;0.00;0.00
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0.000000;0.00;0.00;0.00
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;0.00;0.000000;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;162.800000;1.95;0.00;1.75
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2022-01-01;2022-12-31;Conselho de Administração;8.00;3.58;0.100000;2.71;2.73;2.77
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;8.33;1.500000;1.94;1.75;1.95
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2021-01-01;2021-12-31;Conselho de Administração;8.00;4.00;0.700000;2.84;0.00;4.31
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2021-01-01;2021-12-31;Diretoria Estatutária;7.33;7.33;1.700000;2.05;2.74;2.59
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2024-01-01;2024-12-31;Conselho de Administração;8.00;0.00;0.000000;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2024-01-01;2024-12-31;Diretoria Estatutária;7.58;7.58;162.800000;3.11;0.00;0.00
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.42;1.00;1.000000;0.00;0.00;2.37
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0.000000;0.00;0.00;0.00
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;1.00;1.000000;3.08;0.00;0.00
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2021-01-01;2021-12-31;Conselho de Administração;13.00;0.00;0.013000;0.00;0.00;0.00
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.00;6.00;0.013000;0.01;0.01;0.01
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;2.000000;0.00;0.00;0.00
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.00;4.83;0.020000;0.01;0.01;0.01
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.33;0.00;2.000000;0.00;0.00;0.00
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.020000;0.01;0.01;0.01
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2024-01-01;2024-12-31;Conselho de Administração;11.00;0.00;3.000000;0.00;0.00;0.00
02.387.241/0001-60;2024-12-31;7;142056;RUMO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.25;4.25;0.030000;0.01;0.01;0.01
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.40;6.40;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.50;7.50;0.000000;7.69;0.00;7.69
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.70;7.70;0.000000;7.50;0.00;7.50
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0.000000;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;6.00;6.00;0.000000;0.00;0.00;0.00
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;18.00;1.00;0.000000;0.00;0.00;102109.41
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;4.00;0.000000;0.00;0.00;898440.73
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;18.00;1.00;0.000000;0.00;0.00;160150.32
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;0.000000;0.00;0.00;345115.09
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;17.67;1.00;0.000000;0.00;0.00;111441.27
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;8.00;0.000000;0.00;0.00;2434539.14
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2024-01-01;2024-12-31;Conselho de Administração;18.00;0.00;0.000000;0.00;0.00;0.00
02.474.103/0001-19;2024-12-31;6;142134;ENGIE BRASIL ENERGIA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;8.00;7.00;0.000000;0.00;0.00;2401350.52
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;5.120000;2.85;2.02;5.63
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.000000;3.08;2.48;3.78
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;5.110000;3.84;3.76;3.48
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;4.00;43.000000;0.01;0.00;0.01
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.54;5.54;99.000000;0.01;0.01;0.01
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;3.09;8.000000;4.56;16.63;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;1.496000;4.00;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.58;3.00;5.000000;7.88;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.33;3.00;84.000000;7.39;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho de Administração;5.67;4.00;43.000000;0.01;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;93.000000;0.01;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;3.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;4.00;0.270000;29.01;0.00;29.05
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;0.140000;29.01;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;0.130000;28.18;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;4.00;0.270000;38.04;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.000000;0.00;0.00;0.00
