CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Quantidade_Acoes;Preco_Medio_Ponderado_Aquisicao;Preco_Medio_Ponderado_Mercado;Valor_Diferenca_Aquisicao_Mercado
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;4.17;411040;32.41;32.41;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;1255450;14.50;14.50;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.67;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;37933;0.00;43.96;-1667534.68
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;11.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;46667;0.00;44.12;-2058948.04
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;10.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;37933;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;8.67;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;8.67;0.00;0;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;0.00;0;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Diretoria Estatutária;6.83;6.83;3104101;0.00;3.07;-9529590.07
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;6.50;580407;0.00;3.49;-2025620.43
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;5895582;0.00;4.75;-28004014.50
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.67;10.67;375117;15.34;15.34;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.42;10.42;0;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;9.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;2.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;0.00;0;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;1.00;33497;30.61;15.34;511499.19
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;8.00;8.00;523124;26.20;14.99;5864220.04
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;1.00;33497;30.61;28.22;80057.83
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;8.00;8.00;667801;24.44;27.93;-2330625.49
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;3.00;0;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;220473;19.36;8.83;2321580.69
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;5.00;0;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.08;2.00;15120;15.94;15.50;6652.80
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;6.67;3.00;50087;23.18;20.96;111193.14
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;6.17;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.75;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.92;2.00;72644;23.18;23.53;-25425.40
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;1.00;0;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;57975;7.16;32.75;-1483580.25
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;86963;7.16;22.91;-1369667.25
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.92;0.00;0;0.00;0.00;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;0.00;0;7.16;33.86;0.00
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.67;0.00;0;0.00;0.00;0.00
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Conselho de Administração;3.00;3.00;0;0.00;0.00;0.00
02.258.422/0001-97;2024-12-31;1;137781;INEPAR EQUIPAMENTOS E MONTAGENS S/A - EM RECUPERACAO JUDICIA;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Conselho de Administração;5.00;0.00;0;0.00;0.00;0.00
02.291.077/0001-93;2024-12-31;1;138226;PRODUTORES ENERGET.DE MANSO S.A.- PROMAN;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;1.00;0;0.00;0.00;0.00
02.328.280/0001-97;2024-12-31;2;140925;ELEKTRO REDES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;1.00;18000;15.34;15.34;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2022-01-01;2022-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;9.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2021-01-01;2021-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
02.351.877/0001-52;2024-12-31;3;141645;LWSA S/A;2021-01-01;2021-12-31;Diretoria Estatutária;7.33;0.00;0;0.00;0.00;0.00
02.365.069/0001-44;2024-12-31;2;140760;PADTEC HOLDING S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.42;1.00;764885;0.01;2.38;-1812777.45
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2022-01-01;2022-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.50;7.50;1756091;13.15;12.98;298535.47
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2021-01-01;2021-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.70;7.70;402806;12.76;12.16;241683.60
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;0.00;0;0.00;0.00;0.00
02.421.421/0001-11;2024-12-31;3;141896;TIM S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.40;6.40;1144706;13.20;14.52;-1511011.92
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;2022-01-01;2022-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;56224;4.39;0.00;246823.36
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;2021-01-01;2021-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;42095;3.88;0.00;163328.60
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;2023-01-01;2023-12-31;Conselho de Administração;12.00;10.00;0;0.00;0.00;0.00
02.558.157/0001-62;2024-12-31;1;138285;TELEFÔNICA BRASIL S.A;2023-01-01;2023-12-31;Diretoria Estatutária;4.67;4.67;49289;3.88;3.88;0.00
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;193900;5.98;6.73;-145425.00
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;435691;6.28;6.68;-174276.40
02.762.121/0001-04;2024-12-31;7;141703;SANTOS BRASIL PARTICIPACOES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;643950;8.66;8.96;-193185.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.34;3.09;0;0.00;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.52;5.52;83212;0.01;2.58;-213854.84
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.58;3.00;414624;0.01;3.06;-1264603.20
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.33;4.00;4189218;0.01;3.06;-12777114.90
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;4.00;0;0.00;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.800.026/0001-40;2024-12-31;6;141393;COGNA EDUCAÇÃO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.54;5.54;0;0.00;0.00;0.00
02.846.056/0001-97;2024-12-31;9;141095;CCR S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;8.42;1.00;47131;0.00;13.93;-656534.83
02.846.056/0001-97;2024-12-31;9;141095;CCR S.A.;2023-01-01;2023-12-31;Conselho de Administração;11.00;0.00;0;0.00;0.00;0.00
02.846.056/0001-97;2024-12-31;9;141095;CCR S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.17;5.17;501343;28.32;40.49;-6101344.31
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2021-01-01;2021-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;291488;29.10;35.98;-2005437.44
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0;0.00;0.00;0.00
02.932.074/0001-91;2024-12-31;4;142160;HYPERA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;323375;29.17;39.25;-3259620.00
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.50;1.00;56236;32.16;32.16;0.00
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;9.67;2.00;201671;32.16;32.16;0.00
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;2022-01-01;2022-12-31;Conselho de Administração;8.17;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.58;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.50;0.00;0;0.00;0.00;0.00
03.220.438/0001-73;2024-12-31;16;142011;EQUATORIAL S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.67;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;115869;18.88;25.58;-776322.30
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2021-01-01;2021-12-31;Conselho de Administração;6.58;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;4.00;163480;0.00;18.02;-2945909.60
03.342.704/0001-30;2024-12-31;8;141562;PETRORECÔNCAVO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;0.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2024-12-31;2;141824;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;38658;0.00;44.12;-1705590.96
03.467.321/0001-99;2024-12-31;2;141824;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;0.00;0;0.00;0.00;0.00
03.467.321/0001-99;2024-12-31;2;141824;ENERGISA MATO GROSSO-DISTRIBUIDORA DE ENERGIA S/A;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;6.63;31317;0.00;43.96;-1376695.32
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.92;6.92;0;0.00;0.00;0.00
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.92;4.92;54880;6.60;6.60;0.00
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;7.00;59640;5.66;5.66;0.00
03.802.115/0001-98;2024-12-31;3;141996;CLEAR SALE S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;4.33;4.33;59640;5.66;5.66;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;292270;0.00;15.83;-4626634.10
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.25;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;4.00;4.00;243470;0.00;18.51;-4506629.70
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;6.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0;0.00;0.00;0.00
03.853.896/0001-40;2024-12-31;6;142136;MARFRIG GLOBAL FOODS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;308692;0.00;6.38;-1969454.96
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.00;0.00;0;0.00;0.00;0.00
04.069.709/0001-02;2024-12-31;2;139006;BIONEXO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;3.00;2864769;5.88;0.00;16844841.72
