CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Local;Quantidade_Ate30Anos;Quantidade_30a50Anos;Quantidade_Acima50Anos
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Centro-Oeste;3;59;20
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Exterior;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Nordeste;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Norte;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sudeste;0;0;0
00.070.698/0001-11;2024-12-31;4;141717;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;Sul;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Centro-Oeste;753;1248;263
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Exterior;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Nordeste;0;0;0
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Norte;5;8;1
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Sudeste;4;9;3
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;Sul;13;76;48
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Centro-Oeste;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Exterior;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Nordeste;22;100;3
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Norte;0;0;0
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Sudeste;101;372;67
00.194.724/0001-13;2024-12-31;3;141581;AES BRASIL OPERAÇÕES S.A.;Sul;0;2;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Centro-Oeste;248;416;83
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Exterior;0;0;0
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Nordeste;61;236;32
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Norte;111;672;179
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sudeste;1052;1952;528
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;Sul;68;214;49
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Centro-Oeste;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Exterior;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Nordeste;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Norte;0;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Sudeste;2;0;0
00.272.185/0001-93;2024-12-31;1;138318;CIMS S.A.;Sul;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Centro-Oeste;14;237;122
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Exterior;0;0;0
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Nordeste;0;5;2
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Norte;1;1;2
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Sudeste;0;1;3
00.336.701/0001-04;2024-12-31;1;138306;TELEC BRASILEIRAS S.A. TELEBRAS;Sul;0;2;3
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Exterior;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Nordeste;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Norte;0;0;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sudeste;19;4;0
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;Sul;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Centro-Oeste;0;1;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Exterior;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Nordeste;0;2;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Norte;0;0;0
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sudeste;0;125;44
00.383.281/0001-09;2024-12-31;3;141735;BNDES PARTICIPACOES S.A. - BNDESPAR;Sul;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Centro-Oeste;6;0;2
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Exterior;0;0;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Nordeste;47;13;9
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Norte;3;5;0
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Sudeste;250;121;33
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;Sul;5;5;6
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Centro-Oeste;0;4;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Exterior;0;2;1
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Nordeste;8;30;3
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Norte;0;3;0
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sudeste;4;51;4
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;Sul;21;98;4
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Centro-Oeste;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Exterior;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Nordeste;0;0;0
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Norte;3;31;11
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sudeste;5;14;2
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;Sul;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Centro-Oeste;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Exterior;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Nordeste;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Norte;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sudeste;0;0;0
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;Sul;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Centro-Oeste;1585;206;14
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Exterior;0;0;0
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Nordeste;4503;1293;144
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Norte;1516;260;12
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sudeste;13633;7480;1130
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;Sul;1835;309;41
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Centro-Oeste;1127;3183;193
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Exterior;0;0;0
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Nordeste;1128;2729;193
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Norte;1065;2705;78
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sudeste;1088;2818;260
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;Sul;20;55;6
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Centro-Oeste;22;154;14
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Exterior;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Nordeste;46;299;52
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Norte;0;0;0
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sudeste;834;3263;355
00.924.429/0001-75;2024-12-31;2;140568;FERROVIA CENTRO-ATLANTICA S.A.;Sul;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Centro-Oeste;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Exterior;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Nordeste;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Norte;0;0;0
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Sudeste;0;11;20
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;Sul;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Centro-Oeste;91;292;13
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Exterior;0;0;0
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Nordeste;83;528;20
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Norte;41;146;5
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sudeste;965;3175;277
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;Sul;133;567;32
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Centro-Oeste;226;745;73
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Exterior;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Nordeste;1820;7611;413
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Norte;0;0;0
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Sudeste;1074;3314;399
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;Sul;4;13;1
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Centro-Oeste;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Exterior;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Nordeste;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Norte;0;0;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sudeste;2;1;0
01.104.937/0001-70;2024-12-31;3;139871;ELETROBRÁS PARTICIPAÇÕES S.A. - ELETROPAR;Sul;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Centro-Oeste;54;77;3
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Exterior;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Nordeste;38;163;36
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Norte;0;0;0
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Sudeste;684;1118;317
01.107.327/0001-20;2024-12-31;4;142006;BBM LOGÍSTICA S.A.;Sul;844;1598;451
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Centro-Oeste;359;850;52
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Exterior;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Nordeste;0;0;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Norte;3;3;0
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Sudeste;626;2476;353
01.258.944/0001-26;2024-12-31;2;139644;RUMO MALHA SUL S.A.;Sul;755;2530;307
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Centro-Oeste;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Exterior;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Nordeste;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Norte;0;0;0
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Sudeste;1811;4496;608
01.417.222/0001-77;2024-12-31;3;141908;MRS LOGISTICA S.A.;Sul;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Centro-Oeste;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Exterior;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Nordeste;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Norte;0;0;0
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Sudeste;99;253;40
01.545.826/0001-07;2024-12-31;5;141958;GAFISA S.A.;Sul;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Centro-Oeste;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Exterior;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Nordeste;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Norte;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Sudeste;0;0;0
01.548.981/0001-79;2024-12-31;4;141788;INVESTIMENTOS BEMGE S.A.;Sul;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Centro-Oeste;30;27;7
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Exterior;0;0;0
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Nordeste;66;67;13
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Norte;27;44;10
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sudeste;1194;1017;214
01.599.101/0001-93;2024-12-31;7;141720;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;Sul;64;66;17
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Centro-Oeste;204;743;122
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Exterior;0;0;0
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Nordeste;135;794;169
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Norte;107;364;18
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Sudeste;536;2417;722
01.637.895/0001-32;2024-12-31;4;142116;VOTORANTIM CIMENTOS S.A.;Sul;439;1405;279
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Centro-Oeste;8346;10479;1448
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Exterior;1142;5118;415
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Nordeste;680;2456;278
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Norte;98;252;24
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Sudeste;4061;9499;2027
01.838.723/0001-27;2024-12-31;4;141516;BRF S.A.;Sul;14903;26444;9002
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Centro-Oeste;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Exterior;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Nordeste;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Norte;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Sudeste;0;0;0
01.851.771/0001-55;2024-12-31;1;138018;524 PARTICIPACOES S.A.;Sul;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Centro-Oeste;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Exterior;0;1;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Nordeste;764;599;125
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Norte;0;0;0
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Sudeste;1925;1007;324
01.896.779/0001-38;2024-12-31;2;140772;CSU DIGITAL S.A.;Sul;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Centro-Oeste;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Exterior;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Nordeste;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Norte;0;0;0
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Sudeste;27;127;42
01.917.818/0001-36;2024-12-31;3;139427;LIGHT ENERGIA S.A.;Sul;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Centro-Oeste;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Exterior;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Nordeste;6;16;12
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Norte;0;0;0
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Sudeste;1;1;2
01.938.783/0001-11;2024-12-31;3;141907;CIA PARTICIPACOES ALIANCA DA BAHIA;Sul;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Centro-Oeste;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Exterior;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Nordeste;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Norte;0;0;0
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Sudeste;0;4;1
01.957.772/0001-89;2024-12-31;1;138563;SUL 116 PARTICIPACOES S.A.;Sul;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Exterior;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Nordeste;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Norte;0;0;0
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Sudeste;0;2;1
01.989.044/0001-59;2024-12-31;2;138603;WTC RIO EMPREEND. E PARTICIPAÇÕES S.A.;Sul;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Centro-Oeste;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Exterior;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Nordeste;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Norte;0;0;0
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Sudeste;36;91;13
02.016.440/0001-62;2024-12-31;3;141686;RGE SUL DISTRIBUIDORA DE ENERGIA S.A.;Sul;754;2881;273
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Centro-Oeste;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Exterior;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Nordeste;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Norte;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Sudeste;0;0;0
02.062.747/0001-08;2024-12-31;2;139763;SUDESTE S.A.;Sul;0;0;0
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Centro-Oeste;9;92;10
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Exterior;33;148;28
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Nordeste;28;202;20
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Norte;2;24;2
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Sudeste;3391;8334;838
02.149.205/0001-69;2024-12-31;3;142159;PORTO SEGURO S.A.;Sul;21;176;28
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Centro-Oeste;0;0;0
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Exterior;0;0;0
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Nordeste;0;0;0
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Norte;0;0;0
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Sudeste;0;0;0
02.162.616/0001-94;2024-12-31;1;138211;UPTICK PARTICIPACOES S.A.;Sul;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Centro-Oeste;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Exterior;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Nordeste;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Norte;0;0;0
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Sudeste;96;314;153
02.193.750/0001-52;2024-12-31;3;140684;DEXXOS PARTICIPAÇÕES S.A.;Sul;49;133;30
02.217.319/0001-07;2024-12-31;6;141884;YBYRÁ CAPITAL S.A.;Centro-Oeste;0;0;0
