CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;Data_Inicio_Exercicio_Social;Data_Fim_Exercicio_Social;Orgao_Administracao;Quantidade_Total_Membros;Quantidade_Membros_Remunerados;Bonus_Valor_Minimo;Bonus_Valor_Maximo;Bonus_Valor_Metas_Atingidas;Bonus_Valor_Efetivo;Participacao_Valor_Minimo;Participacao_Valor_Maximo;Participacao_Valor_Metas_Atingidas;Participacao_Valor_Efetivo
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.000/0001-91;2024-12-31;8;142110;BCO BRASIL S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;33.00;33.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;10.00;9.67;0.00;0.00;0.00;0.00;0.00;0.00;1843586.38;0.00
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.00;9.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3966908.81
00.000.208/0001-00;2024-12-31;5;142124;BRB BANCO DE BRASILIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;8.83;0.00;0.00;0.00;0.00;0.00;0.00;0.00;4825444.67
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho de Administração;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Diretoria Estatutária;12.00;12.00;0.00;29395950.00;29395950.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2024-01-01;2024-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho de Administração;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2023-01-01;2023-12-31;Diretoria Estatutária;9.83;9.83;0.00;35157652.99;35157652.99;35157652.99;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho de Administração;9.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Conselho Fiscal;4.92;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2022-01-01;2022-12-31;Diretoria Estatutária;6.33;6.33;0.00;3575071.59;3575071.59;1671703.65;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho de Administração;10.25;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.001.180/0001-26;2024-12-31;9;141946;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021-01-01;2021-12-31;Diretoria Estatutária;5.83;5.83;0.00;539105.56;539105.56;539105.56;0.00;2116920.46;2116920.46;0.00
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;12.00;12.00;0.00;0.00;0.00;0.00;1023082.84;8184662.72;6138497.04;8330094.25
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;7.00;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;13.00;13.00;0.00;0.00;0.00;0.00;1035515.10;8284120.80;8284120.80;6213090.60
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;9.00;9.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.080.671/0001-00;2024-12-31;3;141893;CARAMURU ALIMENTOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;12.00;12.00;0.00;0.00;0.00;0.00;1168692.49;9349539.90;7012154.93;4573932.19
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Conselho de Administração;8.31;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;3.00;3.00;0.00;0.00;0.00;0.00;0.00;5492323.95;5492323.95;0.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Conselho de Administração;8.33;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.35;1.00;0.00;8590275.00;0.00;0.00;0.00;8590275.00;8590275.00;300000.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Conselho de Administração;6.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;3.00;0.00;0.00;0.00;1955000.00;0.00;6000000.00;6000000.00;0.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Conselho de Administração;5.00;5.00;0.00;150000.00;150000.00;0.00;0.00;150000.00;0.00;150000.00
00.242.184/0001-04;2024-12-31;3;141796;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;3.00;10000.00;10000.00;0.00;0.00;0.00;150000.00;0.00;150000.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.359.742/0001-08;2024-12-31;1;138789;ATOM EMPREENDIMENTOS E PARTICIPAÇÕES S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2020-01-01;2020-12-31;Diretoria Estatutária;2.00;2.00;270909.00;270909.00;270909.00;270909.00;0.00;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;504781.00;504781.00;504871.00;504871.00;0.00;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;453726.00;453726.00;453726.00;453726.00;0.00;0.00;0.00;0.00
00.545.378/0001-70;2024-12-31;1;136101;SERRA AZUL WATER PARK SA;2023-01-01;2023-12-31;Diretoria Estatutária;4.00;4.00;424112.00;424112.00;424112.00;424112.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;1126430.01;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho de Administração;4.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;7.00;0.00;0.00;0.00;929062.39;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;6.00;6.00;0.00;0.00;0.00;1128078.90;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023-01-01;2023-12-31;Conselho de Administração;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.622.416/0001-41;2024-12-31;1;138614;STATKRAFT ENERGIAS RENOVAVEIS S.A.;2023-01-01;2023-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2023-01-01;2023-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;7.00;3.00;0.00;384187.00;240117.00;176178.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2022-01-01;2022-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;7.00;3.00;0.00;368621.00;230388.00;154548.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2021-01-01;2021-12-31;Conselho de Administração;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;7.00;3.00;0.00;343541.00;214713.00;142093.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2024-01-01;2024-12-31;Conselho de Administração;3.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;7.00;3.00;0.00;412835.00;258022.00;0.00;0.00;0.00;0.00;0.00
00.644.907/0001-93;2024-12-31;2;140017;INVESTCO S.A.;2024-01-01;2024-12-31;Conselho Fiscal;5.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Conselho de Administração;4.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.743.065/0001-27;2024-12-31;2;137996;LITEL PARTICIPACOES S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Diretoria Estatutária;3.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2023-01-01;2023-12-31;Conselho Fiscal;4.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Diretoria Estatutária;4.00;4.00;0.00;15000000.00;15000000.00;10761000.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2022-01-01;2022-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;4.17;0.00;8000000.00;8000000.00;7994578.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2021-01-01;2021-12-31;Conselho Fiscal;3.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho de Administração;7.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Conselho Fiscal;3.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.776.574/0001-56;2024-12-31;10;142023;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2024-01-01;2024-12-31;Diretoria Estatutária;4.00;4.00;0.00;35208341.00;35208341.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho de Administração;10.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;987191.90;4935959.48;3948767.58;3678455.69
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2023-01-01;2023-12-31;Conselho Fiscal;8.67;3.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho de Administração;9.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;7.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;932419.03;4662095.16;3729676.12;2748971.19
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho de Administração;11.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;10.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;383381.72;1916908.59;1533526.87;2715433.75
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho de Administração;10.00;6.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;5.00;5.00;0.00;0.00;0.00;0.00;1037359.31;1037359.31;5186796.57;4149437.26
00.864.214/0001-06;2024-12-31;7;141912;ENERGISA S.A.;2024-01-01;2024-12-31;Conselho Fiscal;8.67;3.67;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;2024-01-01;2024-12-31;Diretoria Estatutária;2.00;2.00;0.00;2962000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;2023-01-01;2023-12-31;Diretoria Estatutária;2.00;2.00;0.00;740000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;2.00;2.00;0.00;2512000.00;0.00;0.00;0.00;0.00;0.00;0.00
00.938.574/0001-05;2024-12-31;3;141383;CONC RIO-TERESOPOLIS S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;2.00;2.00;0.00;1363000.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2024-01-01;2024-12-31;Conselho de Administração;12.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2024-01-01;2024-12-31;Diretoria Estatutária;9.00;9.00;9925220.96;23022958.93;13953308.44;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2024-01-01;2024-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Conselho de Administração;10.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Diretoria Estatutária;8.00;8.00;5463546.62;18029703.84;10927093.24;12758168.47;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2023-01-01;2023-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Conselho de Administração;10.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Diretoria Estatutária;6.83;6.83;5365253.41;17705336.24;10807434.63;10139805.03;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2022-01-01;2022-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Conselho de Administração;10.58;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Diretoria Estatutária;6.50;6.50;4777921.08;12887592.63;8370970.98;8201555.39;0.00;0.00;0.00;0.00
01.027.058/0001-91;2024-12-31;10;142161;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2021-01-01;2021-12-31;Conselho Fiscal;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2021-01-01;2021-12-31;Conselho de Administração;20.83;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2021-01-01;2021-12-31;Diretoria Estatutária;9.00;9.00;0.00;24364330.00;25178104.00;45885221.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2021-01-01;2021-12-31;Conselho Fiscal;8.75;4.75;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2022-01-01;2022-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2022-01-01;2022-12-31;Diretoria Estatutária;10.42;10.42;0.00;31296120.00;31317991.00;53121049.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2022-01-01;2022-12-31;Conselho Fiscal;10.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
01.083.200/0001-18;2024-12-31;5;141823;NEOENERGIA S.A.;2023-01-01;2023-12-31;Conselho de Administração;23.00;13.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
